Age,Female,Male,Male_inverse,OBJECTID
0,9275,9813,-9813,0
1,7225,7488,-7488,1
2,9566,10000,-10000,2
3,9026,9550,-9550,3
4,9477,10099,-10099,4
5,9082,9784,-9784,5
6,9388,9972,-9972,6
7,8621,8794,-8794,7
8,9302,9429,-9429,8
9,8359,9032,-9032,9
10,10191,11048,-11048,10
11,7042,6809,-6809,11
12,8968,10147,-10147,12
13,7453,8008,-8008,13
14,7850,8290,-8290,14
15,7695,8342,-8342,15
16,6793,7492,-7492,16
17,5556,6490,-6490,17
18,6152,7189,-7189,18
19,4445,4779,-4779,19
20,6917,6685,-6685,20
21,4140,4033,-4033,21
22,4924,4599,-4599,22
23,4369,3930,-3930,23
24,4468,3862,-3862,24
25,6369,5395,-5395,25
26,3800,3375,-3375,26
27,3553,3365,-3365,27
28,4138,3178,-3178,28
29,2983,2693,-2693,29
30,5384,4699,-4699,30
31,2205,2395,-2395,31
32,3155,2827,-2827,32
33,2045,1804,-1804,33
34,2258,2072,-2072,34
35,4123,3962,-3962,35
36,2324,2138,-2138,36
37,1906,1938,-1938,37
38,2241,1859,-1859,38
39,1853,1758,-1758,39
40,3680,3206,-3206,40
41,1210,1289,-1289,41
42,1701,1573,-1573,42
43,1126,1131,-1131,43
44,1389,1258,-1258,44
45,2332,2169,-2169,45
46,1335,1220,-1220,46
47,1375,1242,-1242,47
48,1842,1725,-1725,48
49,1298,1438,-1438,49
50,2583,2298,-2298,50
51,805,1026,-1026,51
52,1051,1177,-1177,52
53,774,868,-868,53
54,811,856,-856,54
55,1387,1310,-1310,55
56,826,894,-894,56
57,832,1079,-1079,57
58,654,669,-669,58
59,811,877,-877,59
60,1863,1708,-1708,60
61,623,804,-804,61
62,482,651,-651,62
63,437,492,-492,63
64,591,602,-602,64
65,927,870,-870,65
66,306,309,-309,66
67,424,489,-489,67
68,471,373,-373,68
69,528,467,-467,69
70,1180,1037,-1037,70
71,340,266,-266,71
72,363,337,-337,72
73,279,253,-253,73
74,336,252,-252,74
75,548,438,-438,75
76,208,246,-246,76
77,158,180,-180,77
78,284,216,-216,78
79,415,313,-313,79
80,3215,2290,-2290,80
