Age,Female,Male,Male_Inverse,OBJECTID
0,6658,6931,-6931,0
1,4773,4962,-4962,1
2,6443,6507,-6507,2
3,6189,6076,-6076,3
4,6207,6251,-6251,4
5,5950,6204,-6204,5
6,5870,6009,-6009,6
7,5450,5651,-5651,7
8,5851,5656,-5656,8
9,5493,5627,-5627,9
10,6102,6321,-6321,10
11,4578,4452,-4452,11
12,5735,5872,-5872,12
13,4925,4901,-4901,13
14,4942,5097,-5097,14
15,4704,4786,-4786,15
16,4594,4499,-4499,16
17,3995,4098,-4098,17
18,3945,4294,-4294,18
19,3150,3403,-3403,19
20,4468,4130,-4130,20
21,2779,2712,-2712,21
22,3798,3190,-3190,22
23,3215,2886,-2886,23
24,3227,2910,-2910,24
25,3978,3647,-3647,25
26,2689,2413,-2413,26
27,2427,2515,-2515,27
28,2684,2239,-2239,28
29,2075,1951,-1951,29
30,3492,3201,-3201,30
31,1578,1794,-1794,31
32,2250,2233,-2233,32
33,1570,1509,-1509,33
34,1626,1540,-1540,34
35,2866,3142,-3142,35
36,1390,1438,-1438,36
37,1413,1514,-1514,37
38,1438,1191,-1191,38
39,1189,1092,-1092,39
40,2331,2247,-2247,40
41,870,902,-902,41
42,1075,1099,-1099,42
43,799,752,-752,43
44,852,875,-875,44
45,1743,1542,-1542,45
46,964,913,-913,46
47,918,908,-908,47
48,1462,1255,-1255,48
49,841,955,-955,49
50,1760,1617,-1617,50
51,602,778,-778,51
52,740,778,-778,52
53,592,616,-616,53
54,639,624,-624,54
55,1008,980,-980,55
56,587,623,-623,56
57,640,839,-839,57
58,514,483,-483,58
59,526,581,-581,59
60,1377,1186,-1186,60
61,456,527,-527,61
62,371,448,-448,62
63,314,377,-377,63
64,437,395,-395,64
65,885,647,-647,65
66,372,381,-381,66
67,349,377,-377,67
68,380,300,-300,68
69,381,302,-302,69
70,959,787,-787,70
71,222,175,-175,71
72,258,241,-241,72
73,180,199,-199,73
74,232,230,-230,74
75,431,310,-310,75
76,150,179,-179,76
77,117,133,-133,77
78,188,214,-214,78
79,303,223,-223,79
80+,2681,1848,-1848,80
